,comment,sent,off
4873,Tika hogibeku avlige,Negative,Offensive_Targeted_Insult_Individual
6615,ನಿಜ ಹೇಳಿದ್ರು ಆದರೆ ಇದರಲ್ಲಿ ಸಬ್ಸ್ಕ್ರೈಬ್ ಇರೋದು ಮೂರು ಲಕ್ಷ  ಆನಂದಾಡಿಯೋದರಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದರೆ ಒಡೆಯ ಸಾಂಗ್ ಮೀರಿಸಿತಿತ್ತು,Negative,Not_offensive
6446,ತೋಗರಿ ತಿಪ್ಪ ಸೂಪರ್,Positive,Not_offensive
5904,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಸಾಂಗ್!!!nಮಧ್ಯ  ಸೇವನೆ  ಅಭ್ಯಾಸದಿಂದ ಬೇಕಾದ್ರೆ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು ಆದ್ರೆ ಈ ಸಾಂಗ್ ಇಂದ ಅಲ್ಲ  ನಿಜಾ ಅನ್ನೋರು Hands Up ಮಾಡಿ,Positive,Not_offensive
604,@Scorpion Studios  nನಮಸ್ಕಾರ 🤣🤣,Mixed,Not_offensive
6552,ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಣ್ಣೆ ಗೆ. ಇಂಪಾರ್ಟೆಂಟ್ ಕೊಡ್ತಾರೆ..,Negative,Offensive_Targeted_Insult_Other
2714,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Mixed,Not_offensive
6766,ಬಿಂದು ಗೌಡ ಟಿಕ್ ಟಾಕ್  ಬ್ಯಾನ್ ಆಯಿತು ಮನೇಲಿ ಪಾತ್ರೆ ತೊಳಿ,Negative,Offensive_Targeted_Insult_Individual
5751,ಅಣ್ಣಾ ಬಾಂಡ್ ಚೆನ್ನಾಗಿ ಬೆಂಡ ಎತ್ತಿದ,Positive,Offensive_Untargetede
5296,Yenandru chamayya mestra magaa,Positive,Not_offensive
2145,Guru sakatha helidiya guru,Positive,Not_offensive
5755,ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನ ಶುಭವಾಗಲಿ,Positive,Not_offensive
1169,Ashwatama ge Kannada barutte yenri,Mixed,Not_offensive
705,@VARAPRASAD K K nin Amman thika nayi keyya dagaar darshan elladru neenu huttakintha munche nin appan munche koting kottidda ansutte soole magne nin amman dengaa,Negative,Offensive_Targeted_Insult_Individual
220,@Chaitanya P ? Haagandre yenu? Nam hero yellakade gelbekalwa?..,Mixed,Not_offensive
1859,En guru nim video ge fan agode aitu nimge namma kade inda subscribe,Positive,Not_offensive
6074,ಏನು ತಪ್ಪಿಲ್ಲ ಸರಿಯಾಗಿ ಹೇಳಿದ್ದಿರಾ,Positive,Not_offensive
3252,Navu. Rent tagondu,unknown,Not_offensive
3482,OMG nange gotte irlilla prajwal hatra istond ide anta,Positive,Offensive_Targeted_Insult_Individual
1570,Climax Swalpa Change madbekittu...,Negative,Offensive_Targeted_Insult_Group
5816,ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ .. ಕುಡುಕನ ವರ್ಷನ್..nnಹೇ.. ನಿಮ್ಮನ್ನೆಲ್ಲ ಯಾರೋ ಒಳಾಗ್ ಬಿಟ್ಟಿದ್ದೂ..nnನನ್ ಮುಖ ನೋಡಿ ಕೇಳ್ತಿದೀಯಾnnಬೋರ್ಡು ಕಾಣುಸ್ತಾ ಇಲ್ವಾ,Positive,Offensive_Targeted_Insult_Other
4150,Sudeep du olle movies innu idave.nnPhantom,Positive,Not_offensive
2534,Idu charitre srustiso  avathara...,Positive,Not_offensive
4189,Super  maga,Negative,Not_offensive
765,@chetan kumarab nan yavagloo compare maddhe...,Mixed,Offensive_Targeted_Insult_Individual
5293,Yen thapu illa Inna chanag ugibeku,Negative,Not_offensive
2867,Lo troll madtadyalla nin us mado mobile ysvdo,unknown,Offensive_Targeted_Insult_Individual
1317,Best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir,Positive,Offensive_Targeted_Insult_Group
6230,ಕ್ಷಮಿಸಿ ದಿಯಾ ಟೀಮ್ .....,Mixed,Not_offensive
3578,Pakka hit agutthe guru movie,Positive,Not_offensive
740,@Vishal Shetty oh karch maadko hogu.... yello yaardo mundaav ikki sampadane maadirtya....,Negative,Offensive_Targeted_Insult_Individual
7160,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸಾಂಗ್,Positive,Not_offensive
2583,Inta kate matte matte krlbeku ansatte super,Positive,Not_offensive
6241,ಗುಡ್ ಲಕ್ ಶ್ರೀಮನ್ನಾರಾಯಣ ರಕ್ಷಿತ್ ಶೆಟ್ರೇ.. ಮಸ್ತ್ ಡಿಫ್ರೆಂಟ್ ಆದುಂಡು ಸಾಂಗ್,Positive,Not_offensive
6641,ನಿನ್ನೆ ಅಷ್ಟೆ movie ನೋಡಿದೆ.movie,Mixed,Not_offensive
6177,ಕನ್ನಡದವರು ಈ ತರ ಸಿನಿಮಾ ಮಾಡ್ತಾರೆ ಅಂತ ದಿಯಾ ಸಿನಿಮಾ ತಂಡ ಸಾಬೀತು  ಮಾಡಿದೆ....ಬರೀ ತೆಲಗು ತಮಿಳು ಸಿನಿಮಾ ನೋಡದಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾ ನೋಡಿ ಮಿಸ್   ಮಾಡಬೇಡಿ,Negative,Offensive_Untargetede
2193,Hands Up antha Rashmika goskara bardang ide,unknown,Not_offensive
3223,Nanu 2 sala nodidini,unknown,Not_offensive
878,@shivaraj shivu ನಾನು ದೊಡ್ಡಬಳ್ಳಾಪುರದ ಅಸಲಿ ಕನ್ನಡಿಗ,Positive,Not_offensive
7079,ಸುಪರ್ ಇಟ್ ಸಾಂಗ್ ಡಿ ಬಾಸ್ ಆಗಲೇ ಬೇಕಿತ್ತು ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ,Positive,Not_offensive
1356,Bidu guru vorkolru edri moduke hogudu nLike China nodi navu bega fast hagbekantilva hage,Mixed,Not_offensive
6445,ತೋಗರಿ ತಿಪ್ಪ  ನಕ್ಕು ನಗಿಸುವ ಕಥನ.,Positive,Not_offensive
5390,bro lovely bro..oogiri mokakke,Negative,Offensive_Untargetede
2332,Hindi song bittilva?,unknown,Not_offensive
3233,Nanu nodhidhini uttar Pradesh forest,unknown,Not_offensive
6695,ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......,Positive,Not_offensive
7108,ಸೂಪರ್ ಆಗಿ ಹೇಳಿದ್ದೆ ಗುರು,Positive,Not_offensive
237,@DACCHU D BOSS ennu release aagila bro.,Positive,Not_offensive
3292,Nice bro Nina vicoe super,Positive,Not_offensive
4048,Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir,Positive,Not_offensive
6741,ಬದುಕಿಗೆ ನೂರು ದಾರಿ..ಆ ಕಾಲದ ತೊಗರತಿಪ್ಪನಿ  ಬುದ್ಧಿಮತ್ತೆಗೆ ನೂರು ಸಲಾಂ.. ಹಿರೇಮಠ ಹೋತಪೇಟ,Positive,Not_offensive
1520,Chalu ati nataka,unknown,Not_offensive
5934,ಇದೇ ಥರ ಕನ್ನಡ  ಚಲನಚಿತ್ರಗಳು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ ಇದೆ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ  ಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ,Positive,Not_offensive
3336,Nija heliddiya guru.nEvr mane yaradru bordernalli sattidre gottagodu.,Negative,Offensive_Targeted_Insult_Group
6448,ಥಿಯಾ ಸುಂದರವಾದ ರೋಮ್ಯಾಂಟಿಕ್ ಮಹಾಕಾವ್ಯವಾಗಿದ್ದು,Positive,Not_offensive
425,@Nandi Parthasarathi ninamman shata kilaka helde baa antha gandu,Negative,Offensive_Targeted_Insult_Individual
1293,Bazaar annodu kannada padana guru?,unknown,Not_offensive
4133,Startup start maadalu capacity growth maadalu tips kodi . Ondu separate video maadi .pls,Positive,Not_offensive
3897,Sasthanga namaskaar guru nale,Positive,Not_offensive
6466,ದಿಯಾ ಕನ್ನಡದಲ್ಲೆ sooper film...ಕಾಸು ಕೊಡದೆ ಬಿಟ್ಟಿಯಾಗಿ ನೋಡಿದೆ ಅನ್ನೋ ಬೇಜಾರಿದೆ..ಸಿನಿಮಾ ಗೆಲ್ಲಲಿ..,Negative,Not_offensive
6769,ಬಿಟ್ಟ ಹೋಗಿರೋ ರಶ್ಮಿಕಾ ಗೆ ಹೇಗ್ ಆಗ್ಬೇಕು ಗೊತ್ತಾ ಯಾಕಾದ್ರೂ ಬಿಟ್ಟ ಹೋದೆ ರಕ್ಷಿತ ಅವರನ್ನ ಅಂತ ಫೀಲ್ ಆಗ್ಬೇಕು ಆ ತರಾ success ನಿಮ್ಮದಾಗಲಿ ಶ್ರೀನಮ್  ನಾರಾಯಣ ಸಿನಿಮಾ,Negative,Offensive_Targeted_Insult_Individual
5777,ಅಧ್ಬುತ ಶೆಟ್ರೆ ‌...ಮಾಯಲೋಕದ ಕಿನ್ನರನೋ,Positive,Not_offensive
7104,ಸೂಪರ್ ಅದ್ಭುತವಾದ ಸಿನೆಮಾ,Positive,Not_offensive
5620,super film kavanadalli kathe,Positive,Not_offensive
1309,Bere Level #ASN #'Hands Up',Positive,Not_offensive
3372,Nim maathugalu thumba esta aaythu sir,Positive,Not_offensive
6167,ಕನ್ನಡದಲ್ಲಿ  ಬರಹವನ್ನು  ಬರೆದ  ನಿಮಗೆ  ನನ್ನ  ಅಭಿನಂದನೆಗಳು ಸಿನಿಮಾ  ಚೆನ್ನಾಗಿದೆ   ನನ್ನ  ಹೃದಯಕ್ಕೆ  ಮನಸ್ಸಿಗೇ ಮುಟ್ಟಿದ ಸಿನಿಮಾ ಇದು... ಒಳ್ಳೆಯದಾಗಲಿ,Positive,Not_offensive
6900,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಪಿಲ್ಮ ಯಾರಿಗೆ ಇಷ್ಟಯಿಂದೆ  ಅವರು ಲೈಕ್ ಮಾಡಿ ಪ್ಲೀಸ್,Positive,Not_offensive
2361,Hit bidu guru,Positive,Not_offensive
6949,ವಾವ್ ಸೂಪರ್ ಹಿಟ್,Positive,Not_offensive
5711,yest olle kalsa nan yavag e kelsa madtaro anta kaytayde thamk u brother full happy,Positive,Not_offensive
4080,Song ge unlike kotiroo sulimakala,Negative,Offensive_Targeted_Insult_Group
4749,Syck bro ....heavy agi roast madtira...adrunu tiktokers tik kik app  nali saitare....,Positive,Offensive_Targeted_Insult_Group
6881,ಯುದ್ಧ ಮಾಡಬೇಕು...  ಓದಬಾರದು.. ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ,Mixed,Not_offensive
1377,Binduge saryagi ugithidira good go ahead  we are enjoying well,Mixed,Not_offensive
4661,Superb bro ur righttiktokers ge sariyag heliddira,Positive,Not_offensive
3565,Pacca edu charetre shrushisti  so avatara,Positive,Not_offensive
6511,ನನಗೆ ಯಾದಿ ಮೇ ಶಾದಿ  ಕ್ಯಾಸೆಟ್ ಹಾಡುಗಳು ಬೇಕಾಗಿವೆ,unknown,Not_offensive
7022,ಸರ್ ನಿಮ್ಮ ನಿರ್ಮಾಪಕರ  phonepe or paytm or Amazon pay ಅಕ್ಕೌಂಟ ನಂಬರ್ ಇದ್ರೆ  ಕಳಿಸಿ... ಸಿನಿಮಾ ನೋಡಲು ಆಗದೆ ಇರೋದ್ರಿಂದ ದುಡ್ಡು ಹಾಕ್ತೀನಿ... I missed a wonderful movie,Negative,Not_offensive
1372,Bindu gowda lofer avlu,Negative,Offensive_Targeted_Insult_Individual
4055,Slow poison song annoru like Maadi,Mixed,Not_offensive
7076,ಸುದ್ದಿ ಮಾಡುವ ಮಾದಕ ಹಾಡು ಕೇಳಿರಿ ಎಲ್ಲರು ......HANDS UP,Mixed,Not_offensive
5397,chenagide anta Pade pade nodoru swalpa husharu Data khali aguthe,Positive,Not_offensive
4981,Unique actor...... super maga,Positive,Not_offensive
5949,ಇವನೆ ಶ್ರೀ ಮಾನನಾರಯಣ,Mixed,Not_offensive
6986,ಶ್ರೀಮನ್ನಾರಾಯಣ  ದೇವರ ದರ್ಶನ ಮಾಡಲೇ ಬೇಕು,Positive,Not_offensive
6161,ಕನ್ನಡ ಸಿನಿಮಾವನ್ನು ಎತ್ತು ಕೊಂಡಾಡುವಂತೆ ಮಾಡಲು ಬರುತ್ತಿದೆ..nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣnnಜೈ ರಕ್ಷಿತ್ ಭಾಸ್....nನಮ್ಮ ಕನ್ನಡದ ಹೆಮ್ಮೆ,Positive,Not_offensive
1963,Film koda e hadin Tara slow poison,Negative,Not_offensive
1877,En song guru.....,Positive,Not_offensive
399,@Nandi Parthasarathi balegar bale bale 🤣🤣🤣 matte ninna akkna minda kano nanu mindri magne randi maga ninu bere heros bagge kettadagi comments madodu bidu navu yaru tantegu hoglla boss tantege bandre gottala,Negative,Offensive_Targeted_Insult_Individual
5995,ಈ ಹಾಡನ್ನು ಪದೇ ಪದೇ ಕೇಳುವವರು ಹಾಗೂ ನೋಡುವವರು ಯಾರಾದರೂ ಇದ್ದೀರಾ....,Positive,Offensive_Targeted_Insult_Group
1290,Basavaraj Marennavar bangaradamanususya,unknown,Not_offensive
5244,Yav Ree dislike kodoru kannada movies belibek fist kannada next hero's elru nammavare...,Positive,Offensive_Targeted_Insult_Group
3731,Rakshit shetty superb,Positive,Not_offensive
5905,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಹೊಸ ಅವತಾರ ಸರ್ ನಿಮ್ಮದು,Positive,Not_offensive
3158,Namboke sadyane illa,Negative,Offensive_Untargetede
7198,ಹಾಡು  ತುಂಬಾ  ಚೆನ್ನಾಗಿ ಇದೇ ಹುಲಿಯ nಇದೇ ಡಿಸೆಂಬರ್ 27 ಕ್ಕೆ ಮೂವಿ ತೆರೆಗೆ ಬರ್ತಿದೇ ಯಲ್ಲ  ಹಳೆ ರೆಕಾರ್ಡ್ ಗಳ್ ಗೆಲ್ಲ RIP. ಬರ್ತಾ ಇರೋದು ನಮ್ಮ  ಹುಲಿಯ,Positive,Not_offensive
371,@Manohar Hiremath ನೀನ್ತಾನೆ ಉರ್ಕೊಂಡು ತಡ್ಕಳ್ಳೊಕ್ಕೆ ಆಗ್ತಾಯಿಲ್ವಲ್ಲ ಹಚ್ಕೊ,Negative,Offensive_Targeted_Insult_Individual
2179,Hahaha sisya yavano nin mobile hegrisidane antha kansutte hahahaha...,Negative,Not_offensive
2505,Ide Tara ide Kate bere basheli bandre hododi nodteera Ade kannadadalli  bandre yakro nodalla ....,Negative,Offensive_Targeted_Insult_Other
7114,ಸೂಪರ್ ಗುರು ಇನ್ನು ಸ್ವಲ್ಪ ಉಗಿರಿ ಟಿಕ್ ಟಾಕ್ ಮಾಡೋರ್ಗೆ,Negative,Not_offensive
4747,Swalpa jasti bildup ayitu annisutte.,Negative,Not_offensive
1282,Bari shocki wala mosale kanniru,Negative,Offensive_Targeted_Insult_Other
3830,S true. Ivattina namma industry kathe idu...  but inmunde e eradu sensational movies inda next yavde olle movie bandru nam jana olle response kodtare ankotidini...  hage adre innu ollede,Negative,Not_offensive
403,@Nandi Parthasarathi gottu Neenu cheeti tulla fan antha change madbeda,Negative,Offensive_Targeted_Insult_Individual
913,@Ŕävîñđŕå_02_GøWđřú bro first avnge BOSS spelling kaliyol heli odok asayya agutte,Negative,Offensive_Targeted_Insult_Individual
4533,Super song Jai DBoss,Positive,Offensive_Targeted_Insult_Group
2723,Kannada industry dhool....,Negative,Not_offensive
5897,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ ಸೂಪರ್‌ ಸಾ೦ಗ್ ರಕ್ಷಿತ ಅಣ್ಣ ಸೂಪರ್‌  ಆಲ ದಿ ಬೆಸ್ಟ್ ಕಿಚ್ಚ ಸುದೀಪ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ,Positive,Not_offensive
1589,Correct alva guru nin mathu 100 sathya,Positive,Not_offensive
7063,ಸಾಹಿತ್ಯಗಾರರ ಕನ್ನಡನಾಡಿನಲ್ಲಿ ಸಾಹಿತ್ಯವನ್ನ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಬರೆದಿರುವ ಅ ಸಾಹಿತ್ಯಗಾರ ಯಾರು ಅಂತ ನನಗೆ ಗೊತ್ತಿಲ್ಲ ಆದರೆ ತುಂಬಾ ಸೊಗಸಾಗಿದೆ ಸಾಂಗ್,Positive,Not_offensive
5868,ಇದು ಇದು actually ಚೆನ್ನಾಗಿರೋದು.🤩🤩🤩,Positive,Not_offensive
6449,ಥಿಯೇಟರ್ ಅವರು ಶೋ ಕೊಡಲ್ಲ,Negative,Offensive_Targeted_Insult_Group
2528,Idu charitre shrutiso avataran#ASN,Positive,Not_offensive
3431,Nivu pan India film Madi sir nivu Nam sandalwood most handsome hunk,Positive,Not_offensive
3318,Nice story accting super prajval devraaj,Positive,Not_offensive
3522,Ondu olle movie na theater nalli nodoke miss maadkonde......,Positive,Not_offensive
5081,Wahoo super n2020 ವರ್ಷ nಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಸೋ ಅವತಾರ,Positive,Not_offensive
2728,Kannada intha Telugu Alli song Chang idhe,Positive,Not_offensive
843,@prithvi nayak ನಿಮ್ಮ ಅಮ್ಮ ಹಾದರಗಿತ್ತಿ,Negative,Offensive_Targeted_Insult_Group
7231,ಹೌದು ಕನ್ನಡತಿ ಭುವನ ಅವ್ರೆ.ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ.ಜೈ ಭುವನೇಶ್ವರಿ ತಾಯಿ.ಜೈ ಕನ್ನಡಿಗ.ಜೈ ಕನ್ನಡತಿ ಕಣ ಕಣದಲ್ಲೂ ಕನ್ನಡ.ಕನ್ನಡವೇ ಸತ್ಯ.ಕನ್ನಡವೇ ನಿತ್ಯ. ಸಿರಿಗನ್ನಡಂ ಗೆಲ್ಗೆ. ಸಿರಿಗನ್ನಡಂ ಬಾಳ್ಗೆ.ಕನ್ನಡದ ಭಕ್ತ ಶಿವರಾಮ್ ಗೌಡ ಮಂಡ್ಯ.6363014117.8296261615.,unknown,Not_offensive
3254,Nee super guru......,Positive,Not_offensive
6184,ಕರಾವಳಿ ಸ್ಟೈಲ್ movie nododhe ಚೆಂದ,Positive,Not_offensive
2708,Kannada badhiki bandhantaitu,Positive,Offensive_Untargetede
2271,Heart touching comment nnE kelsa aagbeku !!,Positive,Not_offensive
4000,Sir nanu driver kelsa madidininNevu acting maddanta Amar Akbar Antony cinema dallinReally great sir Nevu nanu tumba adrustavanta nimjote edadu,Positive,Not_offensive
393,@Nandi Parthasarathi  ಮುಚ್ಚಲ್ಲೇ.... ಮರಿ  ದೊಡ್ಡಬಳ್ಳಾಪುರ ಇತಿಹಾಸ ಏನೋ ಗೋತು .ರಾಜಕಮಲ್ ಗೆ ಸಿನಿಮಾ ಹೊದ್ರೆ ಕ್ಲಿನ್ ಇಲ್ಲ ವಾಸನೆ. ಸರಿಯಾದ ಮೆಂಟೇನ್ಸ್ಸ್ ಇಲ್ಲ.  ಅವಾಗ ಕನ್ನಡ ಸಿನಿಮಾ ಹಾಕೋಡ್ರ್ಲ್ಲಿ ನಮ್ಮಗೂ ಇಷ್ಟ ಇತ್ತು. ತೆಲುಗು  ಸೈರ ನರಸಿಂಹ ರೆಡ್ಡಿ ಹಾಕಿಡೋನೋ ರಾಜಕಮಲ್ ಮರ್ಯಾದೆ ನೋ ಹೋಯಿತು,Negative,Offensive_Targeted_Insult_Individual
5702,yakale.... Dbooos bagi matadtya,Negative,Offensive_Untargetede
1178,Asn jai kannada,Positive,Not_offensive
5648,super... bari kalaberake bashe keli keli sustagittu adakke ee video swaccha sundara basheya balake agirodrinda ishtavaytu..,Positive,Not_offensive
6460,ದಿನಕ್ಕೊಂದು ಸಾರಿಯಾದರೂ ಈ ವಿಡಿಯೋ ನೋಡಿದವರು like Madi......,Positive,Not_offensive
1701,Dinkchaak haadugalanna keli besottogiro kannada janatege adhbhuta rasadoutana koduva different haadu....... Ravichandran avra aa haadugala habba nenapayitu..... Blockbuster ASN,Positive,Not_offensive
1558,Chindi guru... tik tok ban agi yar thika urkoltha avree avru hogi Indian army mathe Modhiji naa keli..! Lowda antha tik tok li questions madodala..!!!,Negative,Not_offensive
4017,Sir nivu bhal chennag matadtiri.all d best ...,Positive,Not_offensive
2789,Kerala antha helbedi bro. Adu kuda jathi na nodutte. Agi hechagi nodutte nan sutta muttalina example nalli heltha idini... I have many Malli frnds so,Positive,Not_offensive
776,@funny videos  okay anna naale hogtini 🤣🤣🤣,Positive,Not_offensive
1259,Bahala varshada nantara Togari Tippa Hasya keli santosh aayitu  thank you for this video,Positive,Not_offensive
688,@Unity of India  ನಮ್ಮ ದೇಶದ ಹಾ ಪಾರ್ಟಿ ದೇಶ ವನ್ನು ತುಂಡು ತುಂಡು ಹಾಗಿ ಮಾಡ್ತೀನಿ ಅಂತ ಹೇಳ್ತಾರೆ ಇದಕ್ಕಿಂತ ದೊಡ್ಡ ಮಾತು ಬೇಕಾ kanniya  kumar,Positive,Not_offensive
3191,Nan math nGe fida agode,Mixed,Not_offensive
1802,Ede tym ge wait madta edhvi antu intu ban age bidtu,Positive,Not_offensive
3847,Sak sak thika muchrole.. Aathara career change yenagalla laude nan makla hog kelsa nodi,Negative,Offensive_Targeted_Insult_Group
13,#Shanvi_Srivatsava  #Rakshit_Shetty best pari forever   #Rashmika_Mandanna,Positive,Not_offensive
3332,Nija bro kolithiro kobbari mukha ne. Inthavrinda ne first minus India ge.,Negative,Not_offensive
5594,sp song jai D. Boss,Positive,Not_offensive
5449,howdu first time keldaga nangu ok anstu bt ega kelbeku anstide and sakkath dance moves,Positive,Not_offensive
1953,Fan war bittu dhayvittu ee movie ge support madrappa nam kannada movie Hollywood level ge barli.,Positive,Not_offensive
1658,Dboss fans erbeku,Mixed,Offensive_Targeted_Insult_Group
3444,Nkn ನಾವು ಗೊತ್ತಲಾ ಬಂದ್ರೆ ನಿನ್ ತುಲ್ಲರೆ ಕೊಡ್ತೀವಿ..,Negative,Offensive_Targeted_Insult_Group
2563,In sandalwoodnnTumba janrige jaatre hero gale ishta aagodu.. talent content bekagilla.. rhyming dialogues matte badavara para horado hero... Aaith mugitu,Negative,Not_offensive
1064,Amazing  song gudluk to alla team ..super vp sir,Positive,Not_offensive
3262,Neev super marree...,unknown,Not_offensive
1411,Bro Adhu Hage Alla Yenu ilde Ondhu life start madidre yenu ansolla yella iddu kalkondu hege life lead madidre Novvu agutte so adhunna artha madkoli aste bcz avr best life Nodi e life ge bandirtare n avrge Acting bittu bere barolla adru ivru drive madtidare so great alva,Positive,Not_offensive
5458,idu Actually chenag irodu,Positive,Not_offensive
6014,ಈಗಿನ ಕಾಲದ ಸ್ವಾಭಿಮಾನಿ ಮನುಷ್ಯ Hand's up sir,Positive,Not_offensive
2829,Last scene nice guru,Positive,Not_offensive
1758,Dubbing madidare song agodilaa 100 million,unknown,Offensive_Untargetede
2530,Idu charitre srushtiso avatara e line kelidmele tak anta nenpagodu vijay prakash sir annovru like madi,unknown,Not_offensive
5300,Yenri sullu heltira fake fake fake fake fake,Negative,Offensive_Targeted_Insult_Individual
648,@TROLL MONSTER_KANNADA le baibeda avnu Boss fane kano ravindra,Mixed,Not_offensive
1215,Avnige ella language matadoke barutta,Positive,Not_offensive
6684,ನೀವು 6-5=2 ಸಿನಿಮಾ ವನ್ನು ರಿಯಲ್ ಸ್ಟೋರಿ ಅಂತ ಯಾಕೆ ಸುಳ್ಳು ಹೇಳಿದ್ದು,Negative,Offensive_Targeted_Insult_Group
1076,Ameer Humza beldhaythu bro 🥰,Positive,Not_offensive
2486,I'm big kiccha&rakshith Shetti fanzz,Mixed,Not_offensive
5797,ಅರೆ  ಜನ ಕುಣಿದು ಕುಪ್ಪಳಿಸುತಿದ್ದಾರೆ ಅಂತ Tik tok ban ಮಾಡಿಲ್ಲ. ಇದನ್ನು ಬಳಸುವ ಬಹಳಷ್ಟು ಜನಾ ಕೇಂದ್ರ ಸರಕಾರದ ವೈಫಲ್ಯ ಎತ್ತಿ ತೋರಿಸಿ,Negative,Offensive_Targeted_Insult_Group
6114,ಒಳ್ಳೆಯ ಕಥೆ ಯೂಟ್ಯೂಬಲ್ಲಿ ಇಂತಹ ಒಳ್ಳೆಯ ಹಾಸ್ಯಮಯವಾದ ಮತ್ತು ಜನರಿಗೆ ಅನುಕೂಲವಾಗುವ ರೀತಿಯ ಸಮಾಜಕ್ಕೆ ಸಂದೇಶ ಸಾರುವ ನೀತಿಕಥೆಗಳನ್ನು ಹಾಕಿದ್ದೀರಿ ಅವರಿಗೆ ಧನ್ಯವಾದಗಳು ಹಾಗೂ ತೊಗರಿ ತಿಪ್ಪ ಗೋಧಿ ಹುಗ್ಗಿ ಗಂಗಯ್ಯ ಒಳ್ಳೆಯ ಕಥೆಗಳನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ,Positive,Not_offensive
3441,Nkn sakkat guru....,Mixed,Not_offensive
7132,ಸೂಪರ್ ಬಾಸ್ ಅದ್ಭುತ ಒಳ್ಳೆ ಟ್ಯಾಲೆಂಟ್ ಇದೆ ನಿಮ್ಮಲ್ಲಿ,Positive,Not_offensive
6828,ಮೊದಲು ನಾವು ಬದಲಾಗ ಬೇಕು,Positive,Not_offensive
1218,Avra manelli yavagadru hoddu sayisudre gottagutte kittod nan maklige tik tok yak ban madbeku andorge saryagelidira bro,Negative,Offensive_Targeted_Insult_Group
6567,ನಮ್ಮನೆಗು ಬಂದಿದ್ದ ನಾನು ಅವನಿಗೆ ಹೇಳಿದೆ ನಿನ್ನ ಬಗ್ಗೆನೇ ಟಿವಿಯಲ್ಲಿ ತೋರಿಸುತ್ತಿದ್ದಾರೆ ಅಂದೆ ಅದಕ್ಕೆ ಅವನು ಹೇಳಿದ ಹೆಣ್ಣು ಕೋಡಬೇಕಂತ ಎಲ್ಲಾ ಕಡೆ ಹೋಡಕೋತ್ತಿದ್ದಾರೆ. ಅಂತ ಹೇಳಿದಾ,unknown,Not_offensive
1522,Channag ugide bro,unknown,Offensive_Untargetede
5502,love you ya,Positive,Not_offensive
4966,Ulti music and signature step,Positive,Not_offensive
739,@Vishal Shetty neenu beedhi soole maga antha gotthu bidu.... hogi beedhili nintko....🤣,Negative,Offensive_Targeted_Insult_Individual
6398,ತುಂಬಾ ಗತ್ತು ಇರುವ ಹಾಡು ಇದು.. ಒಂದೆರಡು ಸಲ ಕೇಳಿದ್ರೆ ಈ ಹಾಡಿಗೆ ಅಡಿಕ್ಷನ್ ಆಗೋದೇ.. ಒಂದ್ಸಲ ಕೇಳ್ಬೇಡಿ ಈ ಹಾಡು ಚೆನ್ನಾಗಿದೆ,Positive,Not_offensive
3466,Now karabu is most liked song,unknown,Not_offensive
