,translated,comment,sent,off
7050,ಸರಂಜಾಮು ನೋಂದಣಿ ಅಂತಸಂದಿರ ಮಂಗರಿ ದೇವರ ಮೇಲೆ,ಸಾರ್ ನಿಮ್ ತಂದೆಯವರ ಅಭಿನಯ ನೋಡ್ತಾ ಇದ್ರೆ ಏನೊ ಹಳೇದೆಲ್ಲಾ ನೆನಪಿಗೆ ಬಂದು ಅಳು ಬರುತ್ತೆ.. ಆ ರೀತಿ ಮನಸ್ಸನ್ನೆ ಕರಗಿಸೊ ಕಲೆ ಅವರಲ್ಲಿತ್ತು. ಅಂತಹವರ ಮಗನಾಗಿ ಹುಟ್ಟಿದ್ದು ನಿಮ್ಮ ಪೂರ್ವ ಜನ್ಮದ ಪುಣ್ಯ ಅಂದ್ರು ತಪ್ಪಾಗುತ್ತೆ.. ಒಳ್ಳೇದಾಗ್ಲಿ ಸರ್.. ಎಲ್ರೂ ಸಾಯೋದೆ.. ಅಲ್ಲಿವರೆಗೂ ಖುಷಿಯಾಗಿರ್ಬೇಕು ಅಷ್ಟೇ..! ದೇವ್ರ್ ಒಳ್ಳೆದ್ ಮಾಡ್ಲಿ ನಿಮ್ಗೆ,Positive,Not_offensive
6349,ಟ್ರೆಲ್ಲರ್ ತುರ್ಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದಳು ಚೆಸ್ .......,ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆnಜೈ ಡಿ ಬಾಸ್.......,Positive,Not_offensive
5831,ಜಾಗತಿಕ 50 ಮಿಲಿಯನ್ + ಕೇವಲ ನಿರೀಕ್ಷಿಸಿ,ಆಗೇ ಆಗತ್ತೆ 50 million + just wait,Positive,Not_offensive
997,25 ಫ್ಲಾಪ್ಸ್ ನಂತರ .. ಜೆಂಟಲ್ ಮ್ಯಾನ್ ಬ್ಲಾಕ್ ಬಸ್ಟರ್,After 25 flops .. gentle man block buster,Positive,Offensive_Untargetede
3236,ನಾನು ಟಿಕ್ಟಾಕ್ ಬಾಲ್ಸಿಲ್ಲಾ ಅವಿವ್ಕಿಯಾಲ್ ಯುಟ್ಯೂಬ್ ನು ... ಕುಡಾ ಅಲ್ಮಾಡುತಿಡಿರಾ ನಿಮ್ಮಂಟರಿಂಡಾ ಆಲ್ಯು ಅಗುಟ್ಟೆ,Nanu tiktak ballisilla avivekialu youtub nu... Kuda almadutidira nimmantorinda aellu agutte,Positive,Offensive_Targeted_Insult_Group
474,@Nandi parrhasarathy,@Nandi Parthasarathi ನಿಮ್ಮ ಅಕ್ಕುನ್ ತುಲ್ಲು,Negative,Offensive_Targeted_Insult_Individual
2664,ಜನವರಿ ಯಾಲಿ ಹೊಲಿದಾವರು ಮಡಿ ನಂತಹ,January yalli nodidavaru like madi,unknown,Not_offensive
6616,ನಿಜ nnn ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ nnn ಕೆಜಿಎಫ್ ದಾಖಲೆ ಮುರಿದುಹೋಗುತ್ತದೆ nn ಅನ್ನು ಕೆಜಿಎಫ್ ಚಾಪ್ಟರ್ 2n ಬಂದು ಇದರ ದಾಖಲೆ ಮುರಿಯಬೇಕು ಅಷ್ಟೇ ಅದು ಸಹ ಅನುಮಾನ nn ಅನ್ನು ಯಾಕೆಂದರೆ ಎನ್ ಮುಂದೆ ಪುಣ್ಯಕೋಟಿ ಬರ್ತಾ ಇದೆ,ನಿಜnnn ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರnnnಕೆಜಿಎಫ್ ದಾಖಲೆ ಮುರಿದುಹೋಗುತ್ತದೆnnಕೆಜಿಎಫ್ ಚಾಪ್ಟರ್ 2nಬಂದು ಇದರ ದಾಖಲೆ ಮುರಿಯಬೇಕು ಅಷ್ಟೇ ಅದು ಸಹ ಅನುಮಾನnnಯಾಕೆಂದರೆnಮುಂದೆ ಪುಣ್ಯಕೋಟಿ ಬರ್ತಾ ಇದೆ,Negative,Not_offensive
4659,ಸುಪರ್ಬ್ ಬ್ರೋ ನಿವ,Superb bro nivu,Positive,Not_offensive
5142,ಏಕೆ ನೀವು ಟಿಕ್ ಟೋಕ್ ಆನ್ನೋ ಅಕಾ ಸಮ್ನೆ ಎರ್ಮಾ ಎನ್ಐ,Why you only tik tok anno akka sumne erma ni,Negative,Offensive_Targeted_Insult_Individual
4335,ಸೂಪರ್ ಕಾಮೆಂಟ್ ಗುರು,Super comment guru,Positive,Not_offensive
6626,ಅನುವಾರ ಫುಟ್ಬಾಲ್,ನಿಜವಾಗ್ಲೂ ತುಂಬಾ ಒಳ್ಳೆ ಫಿಲ್ಮ್  ತುಂಬಾ ಇಷ್ಟ ಆಯಿತು,Positive,Not_offensive
1496,ಬ್ರೋ .... II ಚಲನಚಿತ್ರ ಆನ್ಲೈನ್ ​​Nalli Elli Sigutte .... ಅಥವಾ ಟಿವಿ ಯಲಿ ಯವಗಾ ಹಾಕ್ಟರೆ ...... ಪ್ಲೆಜ್ಜ್ಝ್ಝ್ಝ್ಝ್ ಹರ್,Bro....ii movie online nalli elli sigutte....or TV yalli yavaga haktare......plzzzzzzzzz helu,unknown,Not_offensive
3759,ರಶ್ಮಿಕಾ ಆಂಡ್ರೆ ಯಾರು ಗುರು ನೆತುಕಲಿ ಸೂಲೆ ಎಡುಲಲಾ ಆವಲ್ ಎರ್ಬೊಡಾ,Rashmika andre yaru guru nThukali sule edalala avle erboda,Negative,Offensive_Targeted_Insult_Individual
3035,ನನ್ನ ಜೀವನದಲ್ಲಿ ಅತ್ಯಂತ ಭರವಸೆಯ ಚಿತ್ರ ... ಎನ್ ಅಡಬುಟಾ ಮ್ಯಾಡಮ್ ನಟನೆ. ನಿಮ್ಡು .. ಪ್ರತಿಯೋಬ್ರುರು ಅಧ್ಯಾಯ ಆಡ್ಬುಟಾ .. ಕೋನ್ ಕಣ್ಣಳಿ ನೀರೂ ಬ್ಯಾಡುಬಿಡ್ಟು .. ಡೇವಿಟ್ಟ ಕರೋನಾ ಎಮರ್ಜೆನ್ಸಿ ಅಡಾಮೆಲೆ ಪುನಾ ಥಿಯೇಟರ್ ಹೊಯಿ ನೋಡಿ,Most promising movie in my life... En adubuta acting madam. Nimdu.. Pratiyobbaru abhinya adbuta.. Konege kannalli neeru bandubidtu..dayavittu corona emergency adamele puna theatre hogi nodi,Positive,Not_offensive
7163,ಸಸ್ಪೆರ್ ಹಾಡು,ಸೂಪರ್ ಹಾಡು,Positive,Not_offensive
3681,ಪ್ರುಥ್ವಿ avre nim ನಟಿಸುವ ಸೂಪರ್,Pruthvi avre nim acting Super,Positive,Not_offensive
4294,ಸೂಪರ್ ಬ್ರೋ ನಿಷೇಧ ಅಗಲ ವ್ಯಾಲ್ಡೆ,Super bro ban agide valedu,Positive,Not_offensive
3189,NAN LWDA DALLI EDANE ಬ್ಯಾಂಡ್ NODKONDU OGO GANDU,Nan lwda dalli edane band nodkondu ogo gandu,Negative,Not_offensive
6373,ಡಿ ಬಾಸ್ ಪ್ಲ್ಯಾಸ್ ಲೇಕ್ ಮಾಡ್ರೊ,ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಲೈಕ್ ಮಾಡ್ರೋ,Positive,Not_offensive
6315,ನಮ್ಮ ಮಲ್ಯುತ ಶತಮಾನ ಮಂಡೇರೋ ಎನ್ ಎಂದರೆ .... ಎನ್ ಬೇರೆ ಭಷಷಷಚಚ,ಜನ ಮರುಳೋ ಜಾತ್ರೆ ಮರುಳೋnಅಂದಹಾಗೆ....nಬೇರೆ ಭಾಷೆಯ ಚಿತ್ರಗಳನ್ನು ನೋಡಿnಸೂಪರ್,Positive,Not_offensive
127,ದಿನಕ್ಕೆ 4 ಬಾರಿ,4 times per day,unknown,Not_offensive
3959,ಸರಳ ಸ್ಟಾರ್ಸಾ ಸೂಪರ್,Simple stara supera,Positive,Not_offensive
6084,ಇನ್ಕ್ಯಾಂಗ್ ಗರು,ಏನ್ ಸಾಂಗ್ ಗುರು ಇದು ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಅಲ್ಲಿ ಚರಿತ್ರೆ  ಸೃಷ್ಟಿಸೋ ಹಾಡು,Positive,Not_offensive
2798,ಕಿಲಾಗಡ್ ಮೆರೆಗೇಡ್ ಅಲು ಗಾಡೆ ಉಲ್ಲಿ ಗೇಡ್ .... 🤣🤣🤣,KilaGade MeleGade  ALU Gadde  Ulli Gadde....🤣🤣🤣,Positive,Offensive_Untargetede
2382,ಹೂಡಿ ಬ್ರೋ ಅಪ್ಲಿಕೇಶನ್ ಅಸ್ಥಾಪಿಸು ಮದಡೊ ಅವ್ರಿಗ್ ಮೊತ್ತ ಹೊಗೆಡು ಕಮಿಯಾಗುಟಿಯ ಪ್ಲೆಜ್ಝ್ಝ್ಝ್ ಅಸ್ಥಾಪಿಸು ಮ್ಯಾಡಿ ಬೀವಾರ್ಸ್ ಅಪ್ಪಿ ಆಡು ಥುಯುಯು,Howdu bro app uninstall madudrea avrig amount hogodu kamiagutea plzzzzz uninstall Madi beavarce appp Adu thuuuuu,Negative,Offensive_Targeted_Insult_Other
2006,ಪೂರ್ಣ ಹ್ಯಾಪಿನೆಸ್ಟ್ ಡೇ ಬ್ರೋ ಬುಕ್ ನ್ಯಾಂಗ್ ಇ ಬಿಂದು ಗೌಡನ್ ದಿಲಾಗ್ ಕೆಲೋಡಿಕ್ ಅಗ್ಲಿಲಿಲಾ ಬೆಗ್ಜ್ ಆಡ್ರೆ ಸಕು ನಾನ್ಫ್ರಾಸ್ ಎಲಾ ಎವಿಎಲ್ ಸ್ಟೇಟಸ್ ಎನ್ ಹಕೊಂಡು ವಿಷಯುಕ್ತ ಕುಡ್ರಿರ್ ತಾರಾ ಸೇಟಿಡ್ರು ಸಾಪೇಟಾ,Full happinest day bro becuse nange e bindu gowdan diloug kelodik agtirlila beligge aadre saku nanfrds ella avl status ne hakondu poison kuddiror tara saytidru anways tiktok byan agiddu tumbane olle kelsa and neevantu sakkatttag troll madtira bro nim voice bro,Positive,Offensive_Targeted_Insult_Individual
2524,ಇಡು ಚಾರಿಟ್ರೆ ಶ್ರಶ್ಟಿಸೊ ಅವತಾರ,Idu charitre shrushtiso avatara,Positive,Not_offensive
703,@ ವರಾಪ್ರಸಾದ್ ಕೆ ಕೆ ನೀನ್ ಟನ್ ಚಿಪಕ್ ಕಯಕ್ ಇಲ್,@VARAPRASAD K K neen tunne chipake kayak illa,Negative,Offensive_Targeted_Insult_Individual
6558,ಉದಾಹರಣೆಗೆ,ನಮ್ಮ ದೇಶದಲ್ಲಿ ರಾಜಕೀಯ ಮಾಡಿ ಸಾಯಿತಾರೆ ಸೊ ರಾಜಕೀಯ ಇಲ್ಲ ಅಂದ್ರೆ ದೇಶ ಬೇಗ ಉದ್ದಾರ ಆಗುತ್ತೆ ಇಲ್ಲ ಅಂದ್ರೆ ಅಷ್ಟೇ....,Negative,Offensive_Targeted_Insult_Group
5960,ಈ ಥಈಈಯಯ ് ് ಸಂಸ್ಕೃತ ಬಹರ ಮೂಲದ ರೈನ್,ಈ ಕಥೆಯ ಮೂಲಕ ಸಂಸಾರ ಮಾಡೋಕೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ. ಸಂಸ್ಕಾರ ಬಹಳ ಮೂಖ್ಯ ರಿ,Positive,Not_offensive
5903,ಇದು ಆರಿಟ್ರೆ,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಚಿತ್ರ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,Positive,Not_offensive
2764,ಕರಬು ಸಾಂಗ್ ಕೆಲಿ .... ಬೆಜರ್ ಅಗೈ ..... ಮತ್ತು ಸಾಂಗ್ ಕೆಲ್ತಾ ಎಡಿನಿ .... 🤗🤗🤩🤩🤩,Karabu Song Keli....bejar agii .....e song kelthaa edhini....🤗🤗🤩🤩🤩,Positive,Not_offensive
3825,ರೋಪೊಸೊ engo Aramag ega ega ega enu hain roposo nu hain madta idare anna,Roposo engo aramag ittu ega ivr ela roposo ge bandu roposo nu hal madta idare anna,Negative,Not_offensive
4933,ಟ್ರೈಲರ್ ತಿಮ್ಮೀ,Trailer ತುಂಬಾನೇ ಚೆನ್ನಾಗಿದೆ,Positive,Not_offensive
5219,ಯಪ್ಪ ಎನ್ ಹಾಡು ಅನ್ನಾ ಸೂಪರ್ ಸಾಂಗ್,Yappa en song Anna super song,Positive,Not_offensive
7116,ಬುರ್ರಿ ಗುರು ಟಿಕ್ ಕಕ್ಕೇ,ಸೂಪರ್ ಗುರು ಟಿಕ್ ಟಾಕ್ ಗಳಿಗೆ ಮೆಟ್ಟಿನಲ್ಲಿ ಓದಿದ್ದೀಯಾ ನನ್ನತ್ರನೂ ಒಂದು ಹಳೆ ಮೆಟ್ಟಿದೆ ಕೊಡ್ತೀನಿ ತಗೊಂಡು ಬಿಡು,Positive,Offensive_Targeted_Insult_Group
4363,ಸೂಪರ್ ಸಂಪಾದನೆ ಅನ್ನಾ,Super edit anna,Positive,Not_offensive
2207,ಆನ್ನೋ ಪಾಡಾ IDE ಅಲ್ವಾ →,Hands up anno pada ide alva 🤔,Negative,Not_offensive
6779,ಬೇಡ ಯು ಇವೆ,ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ,Positive,Not_offensive
6201,ಕಿರಿಕ್ ಕರ್ನನ್ ಹೊಸ ಸಂಭವಿಸುವಿಕೆ - ಶ್ರೀನಾನನಾರಾ,ಕಿರಿಕ್ ಕರ್ಣನ ಹೊಸ ಅವತಾರ - ಶ್ರೀಮನ್ನಾರಾಯಣ,Positive,Not_offensive
6132,ಕನ್ನಡ ಉದ್ಯಮ ಯಾ ಹೆಮ್ಮೆ .... ಅಸ್ನ್,ಕನ್ನಡ industry ya ಹೆಮ್ಮೆ....ASN,Positive,Not_offensive
7097,ಸರ್ವರ್ ಯು ಆರ್ ಎ ಕ್ಯಾರೆಕ್ಟ್,ಸೂಪರ್ u r a carrect,Positive,Not_offensive
7209,ಸ್ಥಳ,ಹಾಲಿವುಡ್ ರೇಂಜಿಗಿದೆ...ವೇಯ್ಟಿಂಗ್...ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Positive,Not_offensive
7138,ಸಸ್ಪೆರ್ ಬ್ರೆಡ್,ಸೂಪರ್ ಬ್ರೋ,Positive,Not_offensive
6048,ಅಲ್ಲರೂ ಡೊನಾದೇಶಕ ಕೋರು,ಎಲ್ಲರೂ ನಾಳೆ ಅವನ ದರ್ಶನಕ್ಕೆ ಕಾಯುತಿದ್ದಾರೆ ಯಾರವನು???nಅವನೇ ಶ್ರಿಮನ್ನಾರಾಯಣnನಾಳೇನೇ ಅವನ ದರ್ಶನ ಯಾರ್ಯಾರು ಪಡೆಯುವಿರಿ,Positive,Not_offensive
909,@ ಸಿವಿವಿ ವಿ ಹೂ ಕಾನಪ್ಪ ಗಾಟ್ಟು. ಯಶ್ ಬಾಸ್ ಬಿಟ್ರೆ ಯೆಲ್ಲಾ ಎವೆರೆ ಕಾಪಿ ಪೇಸ್ಟ್ ಗೇಲ್ ರಿಮೇಕ್ ಸ್ಟಾರ್ಸ್,@vyv v hu kanappa gottu. Yash boss bitre yella avare copy paste gale remake stars,Negative,Not_offensive
6933,ಲಿ ವು ಬಾಸಲ್,ಲವ್ ಯು ಬಾಸ್  ಸೂಪರ್,Positive,Not_offensive
6475,ದೀಯಾ ಗೆ ಮೊದಲ ಪ್ರೀತಿಯ ಮಧ್ಯಾಂತರ ಶಾಕ್ ಕೊಟ್ಟರೆ ಎರಡನೇ ಪ್ರೀತಿಯು ಕೊನೆಯಲ್ಲಿ ಶಾಕ್ ಕೊಡುತ್ತದೆ ... ಕಥೆ ಚಿತ್ರಕಥೆ ಸಂಭಾಷಣೆ ನಿರ್ದೇಶನ ಸೂಪರ್ 4 ಜನರು ತುಂಬಾ ಚೆನ್ನಾಗಿ ನಟನೆ ಮಾಡಿದ್ದಾರೆ ... ಇಬ್ಬರೂ ನಟರು ಸೂಪರ್ ನಟಿಯೂ ಸೂಪರ್ ಪವಿತ್ರ ಲೋಕೇಶ್ ಅವರ ನಟನೆ ಅದ್ಬುತ ..ಒಂದೊಳ್ಳೆ ಅದ್ಬುತವಾದ ಸಿನಿಮಾ ...,ದೀಯಾ ಗೆ ಮೊದಲ ಪ್ರೀತಿಯ ಮಧ್ಯಾಂತರ  ಶಾಕ್ ಕೊಟ್ಟರೆ ಎರಡನೇ ಪ್ರೀತಿಯು ಕೊನೆಯಲ್ಲಿ ಶಾಕ್ ಕೊಡುತ್ತದೆ... ಕಥೆ ಚಿತ್ರಕಥೆ ಸಂಭಾಷಣೆ ನಿರ್ದೇಶನ ಸೂಪರ್ 4 ಜನರು ತುಂಬಾ ಚೆನ್ನಾಗಿ ನಟನೆ ಮಾಡಿದ್ದಾರೆ ... ಇಬ್ಬರೂ ನಟರು ಸೂಪರ್ ನಟಿಯೂ ಸೂಪರ್ ಪವಿತ್ರ ಲೋಕೇಶ್ ಅವರ ನಟನೆ ಅದ್ಬುತ ..‌ಒಂದೊಳ್ಳೆ ಅದ್ಬುತವಾದ ಸಿನಿಮಾ ...,Positive,Not_offensive
1420,ಬ್ರೋ ಎಎ ಆಟ ಹೆಲಿ,Bro aa game  name  heli,Mixed,Not_offensive
773,@ ಡೆಸ್ಟೊರಾಡೋ,@desperado  ಶ್ರೀ ಮನ್ ನಾರಾಯಣ ಡಬ್ಬ ಸಿನಿಮಾ,Negative,Offensive_Untargetede
5742,ಮತ್ತೊಂದೆಡೆ ಅವನ ಮತ್ತು ಹೆಚ್ಚು,ಅಣ್ಣ ಏನು ನಿನ್ನ ಮತ್ತು ಒಂದೊಂದು ಮಾತಿನಲ್ಲಿ ಅರ್ಥ ಇದೆ,Positive,Not_offensive
5221,ಯಾಪ್ಪ ಸಾಂಗ್ ಸೂಪರ್ ಗುರು,Yappa song super guruve🤣,Positive,Not_offensive
1666,ಬೇಡಿಕೆ ಈrulse,Demand ಈರುಳ್ಳಿಗೆ ಬಿಟ್ರೆnNEXTnನಮ್ಮ ASN ನಾ ಹಿಂದಿಯಲ್ಲಿ promote ಮಾಡಿ ಅನ್ನುವವರೆ ಹೆಚ್ಚು,Positive,Not_offensive
6003,ಈ ಹಾಡ ಕಳ್ಳ ತುಣುಕು ಚೆಂಡನ್ನು,ಈ ಹಾಡು ಕೇಳಲು ತುಂಬ ಚೆನ್ನಾಗಿದೆ,Positive,Not_offensive
7216,ಹುಬ್ಬು ಕೊಳೆತ ಮಾಂಸಾಹಾರಿ,ಹುಬ್ಬಳ್ಳಿ ಕಿಚ್ಚಾ ಪ್ಯಾನ್ಸ್ ವತಿಯಿಂದ ಒಳ್ಳೆಯದಾಗಲಿ,Positive,Not_offensive
2040,ಗಂಗಾಧರ್ ಆದಿ ನುಚ್ನ್ನಾಲೆಯಾ,Gangadhar Adi nuchnnamallaya,unknown,Offensive_Untargetede
4859,ಟಿಕ್ ಟೋಕ್ ಬೇಡಾ ಅಣ್ಣಾ,Tik tok beda Anna,Negative,Not_offensive
4863,Tik tok nan shaaataaaaa,Tik tok nan Shaaataaaaa,Negative,Offensive_Targeted_Insult_Other
401,@Nandi Parthasarath Gaandu Sale Magne Hogi Bubet,@Nandi Parthasarathi gaandu Sule magne hogi bucket du gaygf nodu adu bittu illi dboss annnabeda cheeti kalla fan,Negative,Offensive_Targeted_Insult_Individual
6622,ಅನುವಾರ ಇದು ಆರರಿ,ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Positive,Not_offensive
6913,ರಚ್ಮೆಂಕಿಂಗ್ ಗಿಯಡಿ,ರಶ್ಮಿಕ ಗಿಂತ ದಿಯಾ ಅವರ ನಟನೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ....film antuu super,Positive,Offensive_Targeted_Insult_Individual
5031,ಬಹಳ ಸಂತೋಷವನ್ನು ಟೊಗರಿ ಟಿಪ್ಪಾ ಕಥೆ,Very nice togari tippa story,Positive,Not_offensive
2722,ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಅಲಿ ಹೋಸಾ ಡೇಕೇಲ್ ಬರಿಯಾಕ್ ಬಾಂಡವನ್ ಯಾರ್ ಅವನ ....... ಅವೇನ್ ಶ್ರೀಮನ್ನರಾಯಣ,Kannada industry alli hosa dakale baryok bandavn yar avnu.......avane sreemannarayana,Positive,Not_offensive
4613,ಸೂಪರ್ ಟಿಪ್ಪಾ ಸ್ಟೋರಿ,Super tippa story,Positive,Not_offensive
5753,ಇತರೆ ಸುಂದರ್ ಹಾಸ್ಅಲ್,ಅತಿ ಸುಂದರ ಹಾಸ್ಯ ಕಲ್ಪನೆ.,Positive,Not_offensive
6227,ಆಕ್ಮಿನಾಲ್ ಬುಧ್ವನಿ ..,ಕ್ರಿಮಿನಲ್ ಬುದ್ದವಂತಿಕೆ ..ಸೂಪರ್ ಹೀಗೆ ಇರಬೇಕು .. ನಮ್ಮ ದೇಶ ನೋ... ಚಾನ್ಸ್..,Negative,Not_offensive
7217,ಹೆಮ್ಮ್ಯ ಕಾನ್ನೇಡ್,ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ,Positive,Not_offensive
2531,Idu ಚಾರಿಟ್ರೆ srushtiso avatara ಸಂತೋಷವನ್ನು,Idu charitre srushtiso avatara nice,Positive,Not_offensive
1705,ರಶ್ಮಿಕಾ ಅಭಿಮಾನಿಗಳಿಂದ ಇಷ್ಟಪಡದಿರುವುದು,Dislike from rashmika fans,Negative,Offensive_Targeted_Insult_Group
7187,ಕಠಿಣವಾದ ವರ್ತನೆ ಕಟ್ಟುನಿಟ್ಟಾದ ಅಧ್ಯಕ್ಷ ರೂಲ್ ಬರಬೇಕ್.,ಹತ್ತು ವರ್ಷ strict  president rule ಬರಬೇಕು.,Mixed,Not_offensive
7237,ಹದುವು ಹುಲಿಯಾ,ಹೌದು ಹುಲಿಯಾ,Positive,Not_offensive
1264,ಬಾಲೆಪೆಟ್ badrushyana () →,Balepete badrushyana ()🤣🤣,unknown,Offensive_Untargetede
1785,ಇ ಸಾಂಗ್ ಜಿಇ ಟಿಕ್ ಟೋಕ್ ಮಡಿದಾವರ ಮಡಿದ್,E song ge tik tok madidavaru like madi,Positive,Not_offensive
5417,ಚಿತ್ರ ಲಿ ಇಡೆ ತಾರಾ ಇಡೆ ಅದೇ ದೃಶ್ಯಗಳನ್ನು ಹೊಂದಿದೆ.,est movie li ede tara ede  same scenes.,Negative,Offensive_Untargetede
2232,ಹ್ಯಾಂಡ್ಸ್ ಅಪ್ 🤗,Hands up 🤗,Positive,Not_offensive
2066,ಗಾಡಿಯಾಗಾ ಇಸ್ಫೆಟ್ ಅಡಾಟಿಡಾ,Godiyaga isfet adatida,unknown,Not_offensive
1164,ಅರ್ಜುನ್ ರೆಡ್ಡಿ ಕಣ್ಣಾಡದಾಲ್ಲಿ ರೀಮೇಕ್ ಆಡ್ರೆ ಪ್ರಜ್ವಾಲ್ ದೇವರಾಜ್ ಸೂಟ್ ಆಗ್ಥೇರೆ ಅನ್ನರು ಮಾದಿ ಹಾಗೆ,Arjun reddy kannadadalli remake aadre prajwal devraj suit aagthaare annoru like maadi,Positive,Not_offensive
496,@Nandi parrhasaraty @nand ನಾನು ಇನ್ನೂ ಗೊಂದಲಕ್ಕೊಳಗಾಗಿದ್ದೇನೆ,@Nandi Parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..?  I still confused,unknown,Offensive_Targeted_Insult_Individual
216,@Bhimrao Naik Appu ಅಭಿಮಾನಿಗಳು ಎಲ್ಲಾ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳು ಬೆಂಬಲಿಸುತ್ತದೆ,@Bhimrao Naik appu fans support all Kannada films,unknown,Not_offensive
437,@Nandi Parthasarathy,@Nandi Parthasarathi ಚಕ್ಕ ಮುಂಡೆ... ನಿನ್ ತುಲ್ಲಗೆ ನನ್ ತುಣ್ಣಿ ಹಾಕ ಎಷ್ಟೇ ನಿನ್ ರೇಟು,Negative,Offensive_Targeted_Insult_Individual
2135,ಗುರು ನಸ್ಮಾರರಾ ಎನ್ನಿ ಚೆನ್ನಗಿ ಟೇಲ್ ಡುಂಗ್ಯು.ಎಸ್ನೌ ಗೌಡ ಬಿನ್ *** ಗೌಡ ಎನ್ನಿ ಟೇಲ್ ಲಿ ಬ್ರೇನ್ ಎಲಾ ಅನ್ಸುಟೆಟೆ,Guru namaskara ennu chennagi tale dhengu.sonu Gowda bin*** Gowda evarge ennu tale li brain Ella anusutte,Positive,Offensive_Targeted_Insult_Group
1398,ಬಾಸ್ ನಿವ ರಶ್ಮಿ ಕಿಟ್ಟ ಜಾಸ್ತಿಲಿಬೆಕು,Boss nivu Rashmi kinta jasthi belibeku,Positive,Not_offensive
537,@Prasad hegde ಆಂಧ್ರ ಪ್ರದೇಶಗಳು ತರುಕು ದುರಕ್ತತೆ. ಸುಗೀಕರಣ. ಪುನಿತ್. ಶ. ರಕ್ವಿತ್ ಜೆಟ್ಟಿ .ಅವರು ಸರ್ಗ ತಿವಿತ್. ಹೆವಿ ಫ್ಯಾನ್ ಫೆಯಾರಿಂಗ್. ಇತ್ತು. ಆದರೆ ಇನ್ನೆಸ್ಟ್ ತೂವು ಸಿನಿನಾ ನೋಡೋ,@Prasad Hegde  ಆಂಧ್ರವಲ ಗಳು eddare .  ಅಂದ್ರ ನಾಯಿಗಳು ತೆಲುಗು.ಕನ್ನಡ ಪ್ರೇಮಿಗಳು ಕನ್ನಡ ಸಿನಿಮಾ ನೋಡಿತರೆ.  ದರ್ಶನ್. ಸುದೀಪ್. ಪುನೀತ್. ಯಶ್. ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ .ದ್ರುವ ಸರ್ಜಾ. ಶಿವಣ್ಣ. Heavy fan fellowing. ಇದೆ.  But ಇನ್ನೊಂದು ತೆಲುಗು ಸಿನಿಮಾ ನೋಡೋದು ಚಿಕ್ಕಬಳ್ಳಾಪುರ   ಜಾಸ್ತಿ .,Negative,Offensive_Targeted_Insult_Individual
6322,ಇಂಚುಗಳು,ಜೈ ಆಂಜನೇಯ,Positive,Not_offensive
1048,ಎಲ್ಲಾ ಅತ್ಯುತ್ತಮ ಪ್ರೌಢ ದೇವರಾರಾಜ್ ಅವರೆ.,All the best ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ avre.,Positive,Not_offensive
4157,ಸುಂದರಾವಾಡಾ ಕೇಟ್ ಸೂಪರ್,Sundaravada Kate super,Positive,Not_offensive
3675,ಪ್ರಚಾರ ವಾನ್ ಸರ್. ಯೆನೋ ಸರ್ ಕರ್ನಾಟಕ ಹೊರಗಡೆ ಚಲನಚಿತ್ರ ಧ್ವನಿ ಮಾದರಿ ಅಲ್ಲ. ಮಗಗಂಂ ಈಮಈ ಈಈಆಆಆಇಇಇಇಇಇಇಇಇಇಇಇ,Promotion ಚನ್ನಾಗಿ ಮಾಡಿ sir. yeno sir Karnataka outside film sound ಮಾಡ್ತಾ ಇಲ್ಲ. ನಿಮಗಿಂತ ನಮಿಗೆ ಈ ಫಿಲ್ಮ ಹಿಟ್ ಆಗಲ್ಲಿ ಅನೋ ಆಸೆ ಇದೆ sir.,Positive,Not_offensive
